Exercise 1

// Sin of pi is 0.000000 (should equal 0.000000)
// Pi: 3.141593	Wallclock time: 7.185887	CPU time: 7.189906	MFlop/s: 834.969979
// Sin of pi is 0.000000 (should equal 0.000000)
// Pi: 3.141593	Wallclock time: 7.186297	CPU time: 7.190906	MFlop/s: 834.922360
// Sin of pi is 0.000000 (should equal 0.000000)
// Pi: 3.141593	Wallclock time: 7.185397	CPU time: 7.187908	MFlop/s: 835.026913
// Sin of pi is 0.000000 (should equal 0.000000)
// Pi: 3.141593	Wallclock time: 3.592904	CPU time: 3.594453	MFlop/s: 1669.958409

Sin of pi is 0.000000 (should equal 0.000000)
Pi: 3.141593	Wallclock time: 7.188324	CPU time: 7.188907	MFlop/s: 834.686920
Sin of pi is 0.000000 (should equal 0.000000)
Pi: 3.141593	Wallclock time: 7.187582	CPU time: 7.190906	MFlop/s: 834.773083
Sin of pi is 0.000000 (should equal 0.000000)
Pi: 3.141593	Wallclock time: 7.185941	CPU time: 7.188907	MFlop/s: 834.963718
Sin of pi is 0.000000 (should equal 0.000000)
Pi: 3.141593	Wallclock time: 3.594189	CPU time: 3.594454	MFlop/s: 1669.361327

N	Length	Iter.	Wall	CPU	MFlop/s
3	9	134217728	1.095872	1.095833	2204.562988
4	19	134217728	1.567882	1.569761	3252.970215
5	40	134217728	1.775475	1.776730	6047.631348
6	85	67108864	1.753934	1.754733	6504.524902
7	180	33554432	1.643818	1.644750	7348.500000
8	378	16777216	1.649351	1.650749	7690.039551
9	794	8388608	1.741224	1.742735	7650.429199
10	1667	4194304	1.765933	1.767731	7918.652344
11	3502	1048576	1.634493	1.634751	4493.275391
12	7355	524288	1.723374	1.724738	4475.103516
13	15447	262144	1.968320	1.969701	4114.512207
14	32439	65536	1.329777	1.330798	3197.411865
15	68122	32768	1.407821	1.408786	3171.172852
16	143056	16384	1.484454	1.486774	3157.833496
17	300419	8192	1.569368	1.570761	3136.335938
18	630880	2048	1.572889	1.574761	1642.890503
19	1324849	512	1.017864	1.017845	1332.835571
20	2782184	256	1.078589	1.078836	1320.686768
21	5842587	128	1.124034	1.124829	1330.655762
22	12269432	64	1.177268	1.177821	1334.010254
23	25765808	32	1.277330	1.277806	1290.983398
24	54108198	16	1.288616	1.289804	1343.660278


N	Length	Iter.	Wall	CPU	MFlop/s
3	9	134217728	1.095866	1.095833	2204.575439
4	19	134217728	1.567041	1.567762	3254.716309
5	40	134217728	1.972638	1.974700	5443.176758
6	85	67108864	1.753437	1.754733	6506.368164
7	180	33554432	1.643871	1.644750	7348.263184
8	378	16777216	1.649416	1.650749	7689.737305
9	794	8388608	1.739678	1.740735	7657.227539
10	1667	4194304	1.765970	1.767731	7918.486328
11	3502	1048576	1.635022	1.635752	4491.820801
12	7355	524288	1.722931	1.723738	4476.253906
13	15447	262144	1.912962	1.913709	4233.579590
14	32439	65536	1.330554	1.330798	3195.544434
15	68122	32768	1.408319	1.409786	3170.051270
16	143056	16384	1.483397	1.483774	3160.083984
17	300419	8192	1.553802	1.554764	3167.755615
18	630880	2048	1.643746	1.645750	1572.070557
19	1324849	512	1.044847	1.044841	1298.415283
20	2782184	256	1.097921	1.098833	1297.432495
21	5842587	128	1.128714	1.129828	1325.138550
22	12269432	64	1.178362	1.178820	1332.771606
23	25765808	32	1.269559	1.269807	1298.885498
24	54108198	16	1.293654	1.293803	1338.427490
